C000371,Write a description for the Latin term **fetiales**.,college of 20 priests responsible for declaration of war
C000372,Find a Latin term that matches the following description: **cared for the sacred fire**,vestal virgins
C000373,Write a description for the Latin term **vestal virgins**.,cared for the sacred fire
C000374,Find a Latin term that matches the following description: **protecting spirit of the household **,Lar Familiaris
C000375,Write a description for the Latin term **Lar Familiaris**.,protecting spirit of the household
C000376,Find a Latin term that matches the following description: **guardian spirits of the fields; worshipped at crossroads (compita)**,Lares
C000377,Write a description for the Latin term **Lares**.,guardian spirits of the fields; worshipped at crossroads (compita)
C000378,Find a Latin term that matches the following description: **Phrygian goddesss brought to Rome in 205 BC during the Second Punic War**,Magna Mater
C000379,Write a description for the Latin term **Magna Mater**.,Phrygian goddesss brought to Rome in 205 BC during the Second Punic War
C000380,Find a Latin term that matches the following description: **goddess brought to Rome from Egypt**,Isis
C000381,Write a description for the Latin term **Isis**.,goddess brought to Rome from Egypt
C000382,Find a Latin term that matches the following description: **god brought to Rome from the Eastern Campaigns; patron deity of soldiers**,Mithras
C000383,Write a description for the Latin term **Mithras**.,god brought to Rome from the Eastern Campaigns; patron deity of soldiers
C000384,Find a Latin term that matches the following description: **judge (juror)**,iudex
C000385,Write a description for the Latin term **iudex**.,judge (juror)
C000386,Find a Latin term that matches the following description: **banker**,argentarius
C000387,Write a description for the Latin term **argentarius**.,banker
C000388,Find a Latin term that matches the following description: **shoemaker**,sutor
C000389,Write a description for the Latin term **sutor**.,shoemaker
C000390,Find a Latin term that matches the following description: **barber**,tonsor
C000391,Write a description for the Latin term **tonsor**.,barber
C000392,Find a Latin term that matches the following description: **drycleaner**,fullo
C000393,Write a description for the Latin term **fullo**.,drycleaner
C000394,Find a Latin term that matches the following description: **person who reminded his boss of the names of people to whom his boss was talking**,nomenclator
C000395,Write a description for the Latin term **nomenclator**.,person who reminded his boss of the names of people to whom his boss was talking
C000396,Find a Latin term that matches the following description: ** executioner/butcher**,carnifex/lanius
C000397,Write a description for the Latin term **carnifex/lanius **.,executioner/butcher
C000398,Find a Latin term that matches the following description: **tax collector**,publicanus
C000399,Write a description for the Latin term **publicanus**.,tax collector
C000400,Find a Latin term that matches the following description: **baker**,pistor
C000401,Write a description for the Latin term **pistor**.,baker
C000402,Find a Latin term that matches the following description: **innkeeper**,caupo
C000403,Write a description for the Latin term **caupo**.,innkeeper
C000404,Find a Latin term that matches the following description: **mixture of barley flower and salt> sprinkled on the entrails of sacrificial animals**,mola salsa
C000405,Write a description for the Latin term **mola salsa**.,mixture of barley flower and salt> sprinkled on the entrails of sacrificial animals
C000406,What does sui iuris mean?,His own master
C000407,Who was given this?,paterfamilias
C000408,Women's names were most commonly the feminine form of what?,Their father; pater
C000409,How many witnesses were required for confarreatio?,10; TEN
C000410,Who had to approve the adrogatio?,Pontifices and comitia curiata
C000411,What is the name for the day on which the praenomen was bestowed?,dies lustricus
C000412,What are the three primary names that Romans would have> in order?,praenomen> gensnomen> cognomen
C000413,What is the fourth (last) name that a Roman would commonly have?,agnomen
C000414,How could a Roman receive an agnomen?,adoption or great achievement
C000415,What is a camillus?,boy who carries utensils in confarreatio
C000416,Which three days were unfavorable for marriages because the entrance to the underworld was open?,August 24> October 5> November 8
C000417,How many days after birth was the dies lustricus> for boys?,9; NINE
C000418,How many days after birth was the dies lustricus> for girls?,8; EIGHT
C000419,What is the period of time before the dies lustricus?,primordia
C000420,What is a baby called before the dies lustricus?,pupus; pupa
C000421,What are the Latin names for the patron and client?,patronus and cliens
C000422,What did patrons provide to their clients?,resources; power; money
C000423,What did clients provide to their patrons?,loyalty
C000424,What was the name for a Roman dinner party?,convivium
C000425,How many people could dine at a convivium?,9; NINE
C000426,What was the most famous chariot racing track?,Circus Maximus
C000427,How many tali were thrown at once?,4; FOUR
C000428,What were the numbers on the sides of a tali?,1> 3> 4> 6
C000429,Along with a millstone (a stone used for grinding grain)> what other object> which looks similar> could metae mean?,turning post
C000430,How many laps were in a missus?,7; SEVEN
C000431,What is the food item> that> along with dolphins> were turned to mark each complete lap?,ova; eggs
C000432,How many different factiones were there?,6; SIX
C000433,What is the Latin name for the red faction?,Russata
C000434,What is the Latin name for the white faction?,Albata
C000435,What is the Latin name for the blue faction?,Veneta
C000436,What is the Latin name for the green faction?,Prasina
C000437,What were the colors of the different factiones?,Red> white> blue> green> purple> and gold
C000438,What is another name for the Flavian Amphitheater?,Colosseum
C000439,When was the Colosseum dedicated?,80 AD
C000440,When did gladiatoral combat arrive in Rome?,246 BC
C000441,In whose funeral games did gladiatoral combat first show up?,Brutus Pera
C000442,What was the oldest type of gladiator?,Samnite/hoplomachus
C000443,What hand movement was associated with pollice verso?,thumbs down
C000444,How many consuls were elected each year?,2; TWO
C000445,What office had two people alternating control of power each day?,consul
C000446,How many lictors did a consul have?,12; TWELVE
C000447,What did lictors carry?,fasces
C000448,What was a fasces composed of?,a bundle of rods and an axe
C000449,What was the purpose of fasces?,symbolized the consuls' absolute power.
C000450,How often were the two censors elected?,5 YEARS; FIVE YEARS
C000451,What did censors perform?,census
C000452,Translate cursus honorum into English.,course of honors; ladder of offices
C000453,What is the Latin name for the festival/event described as follows follows: **Romans performed rites to exorcise malevolent ghosts (lemures or larvae) by throwing black beans**?,Lemuria
C000454,On what day does **Lemuria** take place?,May 9th> 11th> and 13th
C000455,Which Roman festival/event takes place on **May 9th> 11th> and 13th**?,Lemuria
C000456,What is the Latin name for the festival/event described as follows follows: **boy dedicated his insignia pueritiae (bulla & toga praetexta) to the Lares **?,Liberalia
C000457,On what day does **Liberalia** take place?,March 17th
C000458,Which Roman festival/event takes place on **March 17th**?,Liberalia
C000459,What is the Latin name for the festival/event described as follows follows: **pagan festival celebrating Lupercus (god of fertility) and promoting purification> health> and fertility**?,Lupercalia
C000460,On what day does **Lupercalia** take place?,February 15th
C000461,Which Roman festival/event takes place on **February 15th**?,Lupercalia
C000462,What is the Latin name for the festival/event described as follows follows: **birthday of Rome**?,Parilia
C000463,On what day does **Parilia** take place?,April 21st
C000464,Which Roman festival/event takes place on **April 21st**?,Parilia
C000465,What is the Latin name for the festival/event described as follows follows: **a red dog is sacrificed to Robigus (god of rust) to avert mildew and rust to wheat**?,Robigalia
C000466,On what day does **Robigalia** take place?,April 25th
C000467,Which Roman festival/event takes place on **April 25th**?,Robigalia
C000468,What is the Latin name for the festival/event described as follows follows: **slaves switched roles with their masters**?,Saturnalia
C000469,On what day does **Saturnalia** take place?,December 17th to 23rd
C000470,Which Roman festival/event takes place on **December 17th to 23rd**?,Saturnalia
C000471,What is the Latin name for the festival/event described as follows follows: **Spring festival to consecrate boundary stones between farms**?,Terminalia
C000472,On what day does **Terminalia** take place?,March 1st or February 23rd
C000473,Which Roman festival/event takes place on **March 1st or February 23rd**?,Terminalia
C000474,What is the Latin name for the festival/event described as follows follows: **ewe/lamb sacrificed to Jupiter to inaugurate grape-picking season**?,Vinalia Rustica
C000475,On what day does **Vinalia Rustica** take place?,August 19th
C000476,Which Roman festival/event takes place on **August 19th**?,Vinalia Rustica
C000477,What is the Latin name for the event described as follows: **a pig> sheep> and bull were sacrificed; dedicated to Mars as part of the Lustrum**?,Suovetaurilia
C000478,What is the Latin name for the event described as follows: **Purifying people (particularly babies on dies lustricus)> objects> and regions through sacrifices to Mars (hence the term lustration)**?,Lustratio
C000479,What is the Latin name for the event described as follows: **Winter; feast of the crossroads at which the Lares Compitales (guardian deities) were worshipped**?,Compitalia
C000480,What Roman praenomen has the abbreviation of **A**?,Aulus
C000481,What is the abbreviation for the Roman praenomen **Aulus**?,A
C000482,What Roman praenomen has the abbreviation of **D**?,Decimus
C000483,What is the abbreviation for the Roman praenomen **Decimus**?,D
C000484,What Roman praenomen has the abbreviation of **C**?,Gaius
C000485,What is the abbreviation for the Roman praenomen **Gaius**?,C
C000486,What Roman praenomen has the abbreviation of **CN**?,Gnaeus
C000487,What is the abbreviation for the Roman praenomen **Gnaeus**?,CN
C000488,What Roman praenomen has the abbreviation of **K**?,Kaeso
C000489,What is the abbreviation for the Roman praenomen **Kaeso**?,K
C000490,What Roman praenomen has the abbreviation of **L**?,Lucius
C000491,What is the abbreviation for the Roman praenomen **Lucius**?,L
C000492,What Roman praenomen has the abbreviation of **M'**?,Manius
C000493,What is the abbreviation for the Roman praenomen **Manius**?,M'
C000494,What Roman praenomen has the abbreviation of **M**?,Marcus
C000495,What is the abbreviation for the Roman praenomen **Marcus**?,M
C000496,What Roman praenomen has the abbreviation of **P**?,Publius
C000497,What is the abbreviation for the Roman praenomen **Publius**?,P
C000498,What Roman praenomen has the abbreviation of **Q**?,Quintus
C000499,What is the abbreviation for the Roman praenomen **Quintus**?,Q
C000500,What Roman praenomen has the abbreviation of **SER**?,Servius
C000501,What is the abbreviation for the Roman praenomen **Servius**?,SER
C000502,What Roman praenomen has the abbreviation of **SEX**?,Sextus
C000503,What is the abbreviation for the Roman praenomen **Sextus**?,SEX
C000504,What Roman praenomen has the abbreviation of **S**?,Spurius
C000505,What is the abbreviation for the Roman praenomen **Spurius**?,S
C000506,What Roman praenomen has the abbreviation of **TI**?,Tiberius
C000507,What is the abbreviation for the Roman praenomen **Tiberius**?,TI
C000508,What Roman praenomen has the abbreviation of **T**?,Titus
C000509,What is the abbreviation for the Roman praenomen **Titus**?,T
